title;entity;Vikidia;Wikipedia
Canadian federal elections;MISC;The 2019 Canadian federal election was held on 21 October, 2019.;This article provides a summary of results for Canadian general elections (where all seats are contested) to the House of Commons, the elected lower half of Canada's federal bicameral legislative body, the Parliament of Canada. The number of seats has increased steadily over time, from 180 for the first election to the current total of 338. The current federal government structure was established in 1867 by the Constitution Act. For federal by-elections (for one or a few seats as a
Frog;PER;Frogs (scientific name : Anura) are generally small animals, with a great head and mouth, protruding eyes, and no tail. Legs are folded in Z-shape, and allows the frog to jump. Frogs have a nude skin, with no hair nore scale. Frogs with warts are called toads.  There are more than 4,000 different species of frogs in the world, including :;"A frog is any member of a diverse and largely carnivorous group of short-bodied, tailless amphibians composing the order Anura (ἀνούρα, literally without tail in Ancient Greek). The oldest fossil ""proto-frog"" Triadobatrachus is known from the Early Triassic of Madagascar, but molecular clock dating suggests their split from other amphibians may extend further back to the Permian, 265 million years ago. Frogs are widely distributed, ranging from the tropics to subarctic regions, but the greatest concentration of species diversity is in tropical rainforest. Frogs account"
Pliosaur;ORG;The cranium of a pliosaur. The 'pliosaurs’ are cousins with the plesiosaurus. The pliosaur is a marine reptile, based on speed and agility for hunting. The pliosaur was once a dominant aquatic creature but the mosasaur took over the pliosaurs’ place in the pre-historic seas. Pliosaurs’ is related to the modern fresh water crocodile. The Pliosaur is a carnivore, and the diet of a pliosaur are fishes, squids, and other aquatic reptiles, such;Pliosauroidea is an extinct clade of plesiosaurs, known from the earliest Jurassic to early Late Cretaceous. They are best known for the subclade Thalassophonea, which contained crocodile-like short-necked forms with large heads and massive toothed jaws, commonly known as pliosaurs. More primitive non-thalassophonean pliosauroids resembled plesiosaurs in possessing relatively long
77;O;77 is a number impair. It comes after the 76 and before 78.;"77 may refer to: 77 (number) one of the years 77 BC, AD 77, 1977, 2077 Music 77 (band), a Spanish hard rock band 77 (Matt Kennon album) ""77"" (song), by Peso Pluma Talking Heads: 77, debut album by Talking Heads 77 (Nude Beach album), an album by the band Nude Beach See also '77 (disambiguation) 7/7, the 7 July 2005 London bombings All pages with titles containing 77 List of highways numbered 77"
Hubert Reeves;LOC;Hubert Reeves is a Montreal astrophysicist. He went to Fernard-Senguin school. He was born on July 13, 1932. He is known because he is a popularizer of science.;Hubert Reeves (July 13, 1932 – October 13, 2023) was a Canadian astrophysicist and popularizer of science. Early life and education Reeves was born in Montreal on July 13, 1932, and as a child lived in Léry. Reeves attended Collège Jean-de-Brébeuf, a prestigious French-language college in Montreal. He obtained a BSc degree in physics from the Université de Montréal in 1953, an MSc degree from McGill University in 1956 with a
Djibouti;O;23,200 km2presidential republic under authoritarian dictatorship;Djibouti, officially the Republic of Djibouti, is a country in the Horn of Africa, bordered by Somalia to the south, Ethiopia to the southwest, Eritrea in the north, and the Red Sea and the Gulf of Aden to the east. The country has an area of 23,200 km2 (8,958 sq mi).In antiquity, the territory, together with Ethiopia, Eritrea and Somaliland, was part of the Land of Punt. Nearby Zeila, now in Somaliland, was the seat of the medieval Adal and Ifat Sultanates. In the late 19th century, the colony of French Somaliland was established after the ruling
Australian parliament;ORG;The parliament of Australia is the legislatif body in the Commonwealth of Australia. It consist of 226 members. The two chambers are the senate , compound of 76 senators (12 per state and 2 per territoryy) and ruyled by a president nad the house of representatives , compound of 150 representatives , ruled by s speaker. The senators are elected for a 6-years term. The representatives are elected for a 3-years term. The governor-general can dissolve the federal parliament and organise new parliamentary elections. The Australiangovernor-general fixes the during and the dates of;The Parliament of Australia (officially The Parliament of the Commonwealth, also called Federal Parliament) is the legislative body of the Commonwealth of Australia. It consists of three elements: the monarch (represented by the governor-general), the Senate and the House of Representatives. The combination of two elected chambers, in which the members of the Senate represent the states and territories while the members of the House represent electoral divisions according to population, is modelled on the United States Congress. Through both chambers, however, there is a fused executive, drawn from the Westminster system.The upper house, the Senate, consists of 76 members:
Cuticle;O;Cuticle is a type of dead skin. It is very hard and tough.;A cuticle (),
Lasagna;MISC;Lasagne is a dish that is made using a special kind of noodle called lasagne (singular: lasagna) that is usually made from durum wheat. These noodles are layered on top of one another with a variety of ingredients in between the layers. These ingredients include cheese, any kind of meat, and vegetables. The noodle can be described as long, wide, flat and soft. Lasagna is served in a variety of ways;Lasagna (US: , also UK: , Italian: [laˈzaɲɲa], also known as lasagne, Italian: [laˈzaɲɲe]) is a type of pasta, possibly one of the oldest types, made of very wide, flat sheets.
Magma;O;Magma is a mixture of substance at the liqefied been, vapor and gas.  The magma is formed by melting of the rock and material. is different of lava because it is at deep in the heart and it has again the element gas.  The magma can climb on the surface and give origin at one casting or a flow.;Magma (from Ancient Greek μάγμα (mágma) 'thick unguent') is the molten or semi-molten natural material from which all igneous rocks are formed. Magma (sometimes colloquially but incorrectly referred to as lava by
Magic;O;In folk tales and religion, magic is a power through spells and rituals over people and things. In shows, a magician is a person who uses tricks to fool people into thinking they are seeing real magic.;Magic or magick most commonly refers to: Magic (supernatural), beliefs and actions employed to influence supernatural beings and forces Magic (illusion), also known as stage magic, the art of appearing to perform supernatural feats Magical thinking, the belief that unrelated events are causally connected, particularly as a result of supernatural effectsMagic or magick may also refer to: Art
Baltic Sea;LOC;Many big rivers in the surrounding countries drain into the Baltic Sea. The Baltic Sea is connected to the ocean through the narrow and shallow Danish straits and belts. For this reason, the water has a low content of salt, so the northern parts of the sea freeze over in the winter. The ice can carry cars, and roads are established every winter between the islands in the archipelagos between Sweden and Finland. For several;The Baltic Sea is an
Renaissance;MISC;The School of Athens by Raphael. This Renaissance painting shows an imaginary scene from Ancient Greece, with many famous Greek philosophers, writers, artists and mathematicians. Raphael has used the faces of lots of famous people from his own time. He has used Leonardo da Vinci as his model for Plato, the philosopher with the white beard in the centre. The Renaissance is a period in the history of;The Renaissance (UK: rin-AY-sənss, US: REN-ə-sahnss) is a period in history and a cultural movement marking the transition from the Middle Ages to modernity, covering the 15th and 16th centuries and characterized by an effort to revive and surpass the ideas and achievements of classical antiquity, it occurred after the crisis of the Late Middle Ages and was associated
John Wayne Gacy;PER;John Wayne Gacy was a serial killer. He was killed by lethal injection. He had 33 counts of murder.;John Wayne Gacy (March 17, 1942 – May 10, 1994) was an American serial killer and sex offender who raped, tortured, and murdered at least 33 young men and boys in
Haka;MISC;Haka (plural here is the same as singular in Maori language: two Haka, one Haka) is a ritualdance of the Maori, the native people of New Zealand. In some time, a haka is performed to excite friends and to scare enemies. In peace time, a haka is performed as a challenge. Painting of a haka war dance in New Zealand around 1845 Haka of;Haka (,
7th century;MISC;The 7th century is the century that includes the years from CE 601 to CE 700.;The 7th century is the period from 601 through 700 in accordance with the Julian calendar in the Christian Era. The spread of Islam and the Muslim conquests began with the unification of Arabia by Muhammad starting in 622. After Muhammad's death in 632, Islam expanded beyond the Arabian Peninsula under the Rashidun Caliphate (632–661) and the Umayyad Caliphate (661–750). The Muslim conquest of Persia in the 7th century led to the downfall of the Sasanian Empire.
Red fox;MISC;The Red fox (scientific name : Vulpes vulpes) is the most commonly known fox. When someone says fox, you will most likely think of the Red fox. The Red fox has orange-red fur. The females are called vixens, and the males are called reynard or dogs. Baby Red foxes are called kits. A Red fox's diet would be of small rodents, rabbits, and birds.;The red fox (Vulpes vulpes) is the largest of the true foxes and one of the most widely distributed members of the order Carnivora, being present across
King;O;A King is a member of royalty. He is the head of a kingdom.;King is the title given to a male monarch in a variety of contexts. A king is an absolute monarch if
Rangpur;PER;Rangpur is one of the major cities of the Rangpur Division of Bangladesh and one of the oldest municipal corporations in Bangladesh established in 189. The city of Rangpur was recognized as the divisional headquarters on 16 December 189. In 1890, the then Chairman of the Municipal Corporation, Dimlar Zamindar Bari Raja Janakiballav;Rangpur may refer to: Places Rangpur, Bangladesh, a city in Bangladesh Rangpur District Rangpur Division Rangpur, Assam, a capital of the historic Ahom kingdom in present-day Assam, India Rangpur, Gujarat, a historic site in Gujarat, India Rangpur, Punjab, a town in Pakistan Other uses Rangpur (fruit), a type of citrus fruit See also Rangapur (disambiguation) Ranpur (disambiguation) Rajbanshi (disambiguation) Rangpuri language, Indo-Aryan language spoken in India, Bangladesh, and Nepal
Uranus;LOC;"Uranus is a planet in the Solar System. It is the seventh-closest and second-farthest planet from the Sun. It was named after Uranus, a god in Greek mythology.  Uranus was discovered on March 13, 1781 by William Herschel. It had been seen before, but Herschel was the first person to realize that it wasn't a star.  Uranus has 27 known moons.  There is a running gag that where if someone uses the ""a"" as a long vowel it sounds like ""Your Anus"", which is why mostly the ""a"" is correctly said as a low vowel.";Uranus is the seventh planet from the Sun. It is a gaseous cyan-coloured ice giant. Most of the planet is made of water, ammonia, and methane in a supercritical phase of matter, which in astronomy is called 'ice' or volatiles. The planet's atmosphere has a
White Mane;MISC;A wild horse of the Camargue White Mane (French: Crin-blanc) is a short French movie. It was released in 1953. White Mane was directed by Albert Lamorisse, and stars Alain Emery. The movie was a critical success. It won the 1953 Cannes Film Festival Palme d'Or for Best Short Film, and the 1953 Prix Jean Vigo for Short Film. The story is about a poor boy named Folco who befriends a wild horse in the marshes of Camargue, France. Ranchers in the area try to spook White Mane by setting fire;White Mane (French: Crin-Blanc and Crin Blanc, Cheval Sauvage) is a 1953 short film directed by French filmmaker Albert Lamorisse. It is based on a children's book
Kyiv;LOC;"(Redirected from Kiev)  Kyiv (Ukrainian: Київ; also romanizedKiev from the Russian) is the capital of Ukraine. As of a 2009 estimate, the population was 2.779 million, which also makes it the largest city in Ukraine.[1]";Kyiv (also spelled Kiev) is the capital and most populous city of Ukraine. It is in north-central Ukraine along the Dnieper
Margot Fonteyn;PER;Dame Margot Fonteyn de Arias, DBE was an English ballerina. She was born Margaret Evelyn Hookham on 18 May 1919 in Reigate, Surrey, UK. She died 21 February 1991 (aged 71) in Panama City, Panama. Early in life, she changed her names to Margot and Fonteyn. Fonteyn is widely regarded as one of the greatest classical ballet dancers of all time. She spent her entire career as a dancer with The Royal Ballet, eventually being appointed Prima Ballerina Assoluta of;Dame Margaret Evelyn de Arias DBE (née Hookham, 18 May 1919 – 21 February 1991), known by the stage name Margot Fonteyn, was an English ballerina. She spent her entire career as a dancer with
Printing;LOC;Copperplate of 1215-1216: paper money with ten bronze movable types European output of books printed by movable type from ca. 1450 to 1800 [1] The folder of newspaper web offset printing press Printing is one of the technologies which has changed the world. It is an efficient way to multiply writing, so that copies may be made available to many people. Writing originated after people had settled in permanent dwellings. It dates from 3,300BC, which is over 5000 years ago. A variety of writing;Printing is a process for mass reproducing text and images using a master form or template. The earliest non-paper products involving printing include cylinder seals and objects such as the Cyrus Cylinder and the Cylinders of Nabonidus. The earliest known form of printing evolved from ink rubbings made on paper or cloth from texts on stone tablets, used during the sixth century. Printing
Football world cup;LOC;The first edition took place in Uruguay in 1930.  Brazil is the team that holds the most titles (5), followed by Italy, the defending champion since 2006.;The FIFA World Cup, often simply called the World Cup, is an international association football competition between the senior men's national teams of the members of the Fédération Internationale de Football Association (FIFA), the sport's global governing body. The tournament has been held every four years since the inaugural tournament in 1930, with the exception of 1942 and 1946
Harry Potter and the Philosopher's Stone;PER;the first novel starts with harry living with his aunt, petunia, his uncle, Vernon, and his cousin, Dudley. the;Harry Potter and the Philosopher's Stone is a fantasy novel written by British author J. K. Rowling. The first novel in the Harry Potter series and Rowling's debut novel, it follows Harry Potter, a young wizard who discovers his magical heritage on his eleventh birthday, when he receives a letter of acceptance to Hogwarts School of Witchcraft and Wizardry. Harry makes close friends and a few enemies during his first year at the school and with
2020 Baghdad International Airport airstrike;LOC;The 2020 Baghdad International Airport airstrike was a attack that killed General Solemani.;On 3 January 2020, Qasem Soleimani, an Iranian major general, was killed by an American drone strike near Baghdad International Airport, Iraq, while travelling to meet Iraqi Prime Minister Adil Abdul-Mahdi. Soleimani was commander of the Quds Force, one of five branches of Iran's Islamic Revolutionary Guard Corps (IRGC), which is designated as a terrorist organization by both the United States and European Parliament. Soleimani was considered the second most powerful person in Iran,
The Last of the Mohicans;PER;Illustration by Frank T. Merrill, 1896 The Last of the Mohicans: A Narrative of 1757 is an historical novel by James Fenimore Cooper. It was published in 1826. It is one of the five Leatherstocking Tales featuring frontiersman Natty Bumppo (or, Hawkeye) and his Mohican friend Chingachgook. The novel's prose is difficult for modern readers, but Mohicans is still read and studied in college courses. Cooper was travelling with a party of English gentlemen through the Adirondack Mountains when;The Last of the Mohicans: A Narrative of 1757 is a historical romance novel written by James Fenimore Cooper in 1826. It is the second book of the Leatherstocking Tales pentalogy and the best known to contemporary audiences. The Pathfinder, published 14 years later in 1840, is its sequel, its prequel, The Deerslayer, was published a year after The Pathfinder. The Last of the Mohicans is set in 1757, during
Bida;LOC;Bida is a city and local government area in Niger State.[1] It is the second populated city in Niger State having 260,700 people living in the community.[2]  The community has an history of now known as Bida Emirate having Etsu Nupe as they called their (king) or emir as well. The kingdom was founded by Tseode in early 15 century's, Tseode an idah prince born to a family igala father but a Nupe mothers from Bida. [3]  ↑Sir N. F. 'The Bida creed, 1955, Germany institution of linguistic and studies.;Bida is a Local Government Area in Niger State, Nigeria and a city on the A124 highway which occupies most of the area.The LGA has an area of 51 km2 (20 sq mi)
Toad;MISC;"A toad is an amphibian. There are many species. They are known for their dry, leathery skin, short legs, and warts. They are of the order Anura (frogs). A group of toads is called a ""knot"".  Taxonomists make no distinction between frogs and toads. For many people though, toads are thought to live on land, and frogs are thought to live in water or watery places such as swamps and the edges of ponds.";Toad is a common name for certain frogs, especially of the family
Bette Davis;PER;"Ruth Elizabeth ""Bette"" Davis (April 5, 1908 – October 6, 1989) was an American actress, who is viewed as one of the greatest actresses of all time.";"Ruth Elizabeth ""Bette"" Davis (, April 5, 1908 – October 6, 1989) was an American actress"
Euro;MISC;Euro coins and banknotes. Euro (sign: €) is a currency used by 19 countries of the;The euro (symbol: €, currency
George I of Great Britain;LOC;George I of England  George I (28 May 1660 - 11 June 1727), was a King of Great Britain and Ireland from 1 August 1714, and ruler of the Duchy and Electorate of Brunswick-Lüneburg (Hanover) within the Holy Roman Empire from 23 January 1698 until his death in 11 June 1727.;George I (George Louis, German: Georg Ludwig, 28 May 1660 – 11 June 1727) was King of Great Britain and Ireland from 1 August 1714 and ruler of the Electorate of Hanover within the Holy Roman Empire from 23 January 1698 until his death in 1727. He was the first British monarch of the House of Hanover. Born in Hanover to Ernest Augustus and Sophia of Hanover, George inherited the titles and lands of the Duchy of Brunswick-Lüneburg from his father and uncles. In 1682, he married his cousin Sophia Dorothea of Celle, with whom
Munich;LOC;Munich is a city in southern Germany and the capital of Bavaria. It is located on the banks of the river Isar. Munich is the third German city by number;Munich ( MEW-nik(h), German: München [ˈmʏnçn̩] , Bavarian: Minga
Island;LOC;An Island is land completely surrounded by water that is not a continent. The largest island in the world is Greenland.;An island or isle is a piece of subcontinental land completely surrounded by water. Very small islands such as emergent land features on atolls can be called islets, skerries, cays or keys. An island in a river or a lake island may be called an eyot or ait, and a small island off the coast may be called a holm. Sedimentary islands in the Ganges Delta are called chars. A grouping of geographically or geologically related islands, such as the Philippines, is referred to as an archipelago. There are two main types of islands in the sea: continental
San Antonio;LOC;Downton San Antonio  San Antonio is the second largest city in Texas (after Houston) and the seventh largest in the United States. In 2013, the population of the city proper was 1,409,019.[1];"San Antonio ( SAN an-TOH-nee-oh, Spanish for ""Saint Anthony""), officially the City of San Antonio, is a city in the U.S. state of Texas and the most populous city in Greater San Antonio, the third-largest metropolitan area in Texas and the 24th-largest metropolitan area in the United States at 2.6 million people in 2020. It is the most populous"
Lombardy;LOC;Lombardy (Italian: Lombardia) is an Italian region. It is located in the North of Italy. The official language is Italian. The biggest and most important city is Milan.;Lombardy (Italian: Lombardia, Lombard: Lombardia) is an administrative region of Italy that covers 23,844 km2 (9,206 sq mi), it is located in northern Italy and has a population of about 10 million people, constituting more than one-sixth of Italy's population. Lombardy is located between
Killer whale;MISC;Orca whale leaping from the water The orca whale;The orca (Orcinus orca), or killer
Album;MISC;An album is a collection of songs released together, such as the Beatles' White Album.;An album is
Cox's Bazar;LOC;Cox's Bazar is a city, a fishing port and a tourist destination in southeastern Bangladesh. It is the headquarters of Cox's Bazar district of Chittagong division. Cox's Bazar is famous for its natural beauty. It has the longest;"Cox's Bazar (, Bengali: কক্সবাজার, romanized: Kôksbajar, pronounced [kɔksbadʒaɾ]) is a city, fishing port, tourism centre, and district headquarters in southeastern Bangladesh. The iconic Cox's Bazar Beach, one of the most popular tourist attractions in Bangladesh, is the longest uninterrupted beach in the world. It is located 150 km (93 mi) south of the city of Chittagong. Cox's Bazar is also known by the name Panowa, which translates literally as ""yellow flower."" An old name was ""Palongkee"". Kutupalong refugee camp with more than a million Rohingya refugees"
Genus;MISC;The plural is different from other English words because it is a Latin;Genus ( pl.: genera ) is a taxonomic rank used in the biological classification of living and fossil organisms as well as viruses. In the hierarchy of biological classification, genus comes above species
Mars;LOC;Mars, the red planet.  Mars is a planet in the Solar System. It is the fourth-closest planet to the Sun. It was named after Mars, a god in Roman mythology. Mars is a telluric planet. Mars mass is equivalent to 0,107 times the earth mass. It is a very cold planet where the temperature is around -63°.  Mars has two moons, Phobos and Deimos who are measuring less than 25 kilometers.;Mars is the fourth planet from the
Mitosis;O;Mitosis can be defined as a process of dividing a cell to create two cells with identical or nearly identical DNA. It is used by most one-celled organisms to reproduce and by cells in multi-cellular organisms;Mitosis () is a part of the cell cycle in which replicated chromosomes are separated into two new nuclei. Cell division by mitosis is an equational division which gives rise to genetically identical cells in which the total number of chromosomes is maintained. Mitosis is preceded by the S phase of interphase (during which DNA replication occurs) and is followed by telophase and cytokinesis, which divides the cytoplasm, organelles and cell membrane of one cell into two new cells containing roughly equal shares of these cellular components. The different stages of mitosis altogether define the mitotic phase (M
Death;O;"Death is the end of life: anything that lives must die at one point (otherwise, it isn't living !) Death is a normal thing, that ends all lives, even though many ones don't want their life to end : this is why many fear the death.  Death may occur when getting old, as the body weaken and can't continue to live, or by ""accident"": one may be killed by something, like a disease, or a serious wound, for example.";Death is the irreversible cessation of all biological functions that sustain an organism. For organisms with a brain, death can also be defined as the irreversible
Guitar;O;The guitar is a musical instrument. It has six strings, to make chords you need to push down on the strings in different ways and in different frets.;The guitar is a stringed musical instrument, that is usually fretted (with some exceptions) and typically has six or twelve strings. It is usually held flat against the player's body and played by strumming or plucking the strings with the dominant
Pokémon;MISC;Pokémon is a video game created by Nintendo. It means Pocket Monsters. There are many different types that are the following: fire, grass, water,;Pokémon is a Japanese media franchise consisting of video games, animated series and films, a trading card game, and other related media. The franchise takes place in a shared universe in which humans co-exist with creatures known as Pokémon, a large
25;O;25 is a number. It comes after 24 and before 26. It’s known as a quarter of 100.;Twenty-Five or 25 may refer to: 25 (number), the natural number following 24 and preceding 26 one of the years 25 BC, AD 25, 1925, 2025 Science Manganese, an transition metal in the periodic table 25 Phocaea, an asteroid in the asteroid belt Music Albums Twenty Five (album), a 2006 greatest hits album by George Michael Twenty Five (video), released alongside the George Michael album 25 (A-ha album), 2010 25 (Adele album), 2015 25 (Blues Traveler album), 2012 25
Eurozone;ORG;Countries (in dark green) in the European Union that are part of the eurozone  The Eurozone is a group of countries that use the euro as their currency.  The following 19 (out of 28 in the EU) countries in the European Union use the euro as their only currency:[1];The euro area, commonly called the eurozone (EZ), is a currency union of 20 member states of the European Union (EU) that have adopted the euro (€) as their primary currency and sole legal tender, and have thus fully implemented EMU policies. The 20 eurozone members are: Austria, Belgium, Croatia, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, the Netherlands, Portugal, Slovakia,
Recycling;LOC;"Recycling is the process of turning something old into something new. It’s better for the Earth. Recycle stuff like plastic, paper , glass, metal and cardboard. In some countries, like the UK, recycling is generally collected from homes and businesses by waste collection services, and then taken to large centres where it can be sorted into all the recyclable materials we throw away every day; metal (aluminium soda cans and food tins), glass (jars and bottles), plastic (disposable cutlery, milk cartons, etc), paper and cardboard (newspapers, cereal";Recycling is the process of converting waste materials into new materials and objects. This concept often includes the recovery of energy from waste materials. The recyclability of a material depends on its
Hera;PER;Hera (seated) and Prometheus on a Greek vase painting  Hera was an Ancient Greek goddess. She was Zeus's sister and wife, and also the Queen of Heaven. Her special concerns were women and marriage. The cow, lion and the peacock were sacred to her. In Rome, she was called Juno.  Hera could be a kind goddess, but she is more memorable for being cruel, vicious, and mean - especially to the children her husband got upon mortal women. She devise the Twelve Labors for Herakles, hoping they would kill him.;In ancient Greek religion, Hera (, Greek: Ἥρα, translit. Hḗrā, Ἥρη, Hḗrē in Ionic and Homeric Greek) is the goddess of marriage, women, and family, and the protector of women during childbirth. In Greek mythology, she is queen of the twelve Olympians and Mount Olympus, sister and wife
Lion;LOC;Lions live in grasslands and mixed areas with trees and grass. The relatively small females are fast runners over short distances, and co-ordinate their hunting of herd animals. Lions have disappeared from North;The lion (Panthera leo) is a large cat of the genus Panthera, native to Africa and India. It has a muscular, broad-chested body, a short, rounded head, round ears, and a hairy tuft at
Vampire;MISC;A Vampire is a fictitious creature that sucks the;A vampire is a mythical creature that subsists by feeding on the vital essence (generally in the form of blood) of the living. In European folklore, vampires are undead creatures that often visited loved ones and caused mischief or deaths in the neighbourhoods which they inhabited while they were alive. They wore shrouds and were often described as bloated and of ruddy or dark countenance, markedly different from today's gaunt, pale vampire which dates from the early 19th century. Vampiric entities have been recorded in cultures around the
Swan Lake;PER;Odette and Prince Siegfried in a modern production Swan Lake is a classical ballet based on German fairy tales. Pyotr Ilyich Tchaikovsky wrote the music. Julius Reisinger choreographed the first production. The ballet was first performed at the Bolshoi Theatre in Moscow, Russia on 20 February 1877. It was not a great success. About 20 years after the Moscow premier, Swan Lake was revived in St Petersburg with choreography by Marius Petipa and Lev Ivanov. This time, the ballet;Swan Lake (Russian: Лебеди́ное о́зеро, tr. Lebedínoje ózero, IPA: [lʲɪbʲɪˈdʲinəjə ˈozʲɪrə] ), Op. 20, is a ballet composed by Russian composer Pyotr Ilyich Tchaikovsky in 1875–76. Despite its initial failure, it is now one of the most
Helios;PER;Helios, is the Titan of The;"In ancient Greek religion and mythology, Helios (, Ancient Greek: Ἥλιος pronounced [hɛ̌ːlios], lit. 'Sun', Homeric Greek: Ἠέλιος) is the god who personifies the Sun. His name is also Latinized as Helius, and he is often given the epithets Hyperion (""the one above"") and Phaethon (""the shining""). Helios is often depicted in art with a radiant crown and driving a horse-drawn chariot through the sky. He was a guardian of oaths and also the god of sight. Though Helios was a relatively minor deity in Classical Greece, his worship grew more prominent in late antiquity thanks to his identification with"
Boris Johnson;LOC;Boris Johnson in 2009  Boris Johnson (born June 19, 1964) is a British politician and the former mayor of London. He was the mayor from 2008 - 2016 . He is a member of the Conservative Party.  In 2015 he was elected as an MP for Uxbridge and South Ruislip, part of Greater London.  In 2019 following the resignation of Theresa May as Prime Minister, Boris Johnson won a vote among members of the Conservative political party, to become the new leader. By default this also made him Prime Minister.;Alexander Boris de Pfeffel Johnson (born 19 June 1964) is a British politician and writer. He was Prime Minister of the United Kingdom and Leader of the Conservative Party from 2019 to 2022. He previously was Foreign Secretary from 2016 to 2018 and Mayor of London from 2008 to 2016. He was Member of Parliament (MP) for Henley from 2001
Animal;MISC;An animal is a living being. Animals are usually distinguished from plants, but they two are not the only kinds of living beings in the world, there are plenty of others, like fungi, or bacteria, for example. Most known animals are easy to distinguish, since they have legs, or wings, or fins, or something else (called a limb) they use to move : plants, for example, don't move. Some other animals, like snails, have no limb, but even though they are able to move. But, if many animals;Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia. With few exceptions, animals consume organic material, breathe oxygen, have myocytes and are able to move, can reproduce sexually, and grow from a hollow sphere of cells, the blastula, during embryonic development. Animals form a single clade. Over 1.5 million living animal species have been described—of which around 1.05 million are insects, over 85,000 are molluscs, and around 65,000 are vertebrates. It has been estimated there are as many as 7.77 million animal species on Earth. Animals' body lengths range from 8.5
Pixel Chix;MISC;Pixel Chix are interactive electronic games, made by Mattel. They are miniature houses with an LCD screen. Was avaible in many coubtries in many toy shops. Also made a Happy Meal varation of it.;Pixel Chix was a handheld life simulation game released in 2005 by Mattel that was aimed at young children. The game was set in a plastic dollhouse and was similar to Tamagotchi in that they have
2014;ORG;July 17th - Malaysia Airlines Flight 17 is shot down over Ukraine.  November 12th - The Philae spacecraft lands on a comet.  December 28th - AirAsia Flight 8501 crashes.;2014 (MMXIV) was a common year starting on Wednesday of the Gregorian calendar, the 2014th year of the Common Era (CE) and Anno Domini (AD) designations, the
Herman Hesse;MISC;"Hermann Karl Hesse (July 2, 1877 – August 9, 1962) was a German poet, writer and painter. Hesse was born in Germany, but later moved to Switzerland and adopted the Swiss nationality. Hesse is one of the most well-known German writers; he wrote Steppenwolf, Siddharta and Beneath the Wheel.";Hermann Karl Hesse (German: [ˈhɛʁman ˈhɛsə] , 2 July
Asthma;MISC;Classification and external resources An asthma attack causes the airways to constrict, and too much mucous to be made which makes breathing difficult. Asthma (or Asthma bronchiale) is a disease that causes affects the airways - called bronchi and bronchioles - that are inside the lungs. It causes the tissue inside the airways to swell, and the bands of muscle around the airways to constrict making them too narrow for enough air to pass through and breath normally. Asthma;Asthma is a long-term inflammatory disease of the airways of the lungs. It is characterized by variable and recurring symptoms, reversible airflow obstruction, and easily triggered bronchospasms. Symptoms include episodes of wheezing, coughing, chest tightness, and shortness of breath. These may occur a few times a day or a few times per week. Depending on the person, asthma symptoms may become worse at night or with exercise.Asthma is thought to be caused by a combination of genetic and environmental factors. Environmental factors include exposure to air pollution and allergens. Other potential triggers
Assumption of Mary;PER;Mary, carried by angels  Among Catholic and Orthodox Christians, the Assumption of Mary is the belief that Mary, the mother of Jesus, at the end of her time on Earth, was ascended to Heaven in both body and soul.  It was proclaimed revealed truth by Pope Pius XII in 1950, although artistic representations of the subject had already been made long before.;The Assumption
Edmond Rostand;MISC;Edmond Rostand (1868 – 1916) was a French playwright.  His best-known play, Cyrano de Bergerac, told the story of a writer with a long nose.;Edmond Eugène Alexis Rostand (UK: , US: , French: [ɛdmɔ̃ ʁɔstɑ̃], 1 April 1868 – 2 December 1918) was a French poet and dramatist. He is associated with neo-romanticism and is known best for his 1897 play Cyrano de Bergerac. Rostand's romantic plays contrasted with the naturalistic theatre popular during the late nineteenth century. Another of Rostand's works, Les Romanesques (1894), was adapted to the 1960 musical comedy The Fantasticks. Early life Rostand was born in Marseille, France, into
Fake News;ORG;Fake News is news that isn't true(that is Fake). Fake News can have small effects but it can also have very big ones.People could use Fake News because they want a specific president...Fake News can spread quite fast if we don't know what we are reading. There is a program to make faces or change them,so someone could replace;"Fake news or information disorder is false or misleading information (misinformation, including disinformation, propaganda, and hoaxes) presented as news. Fake news often has the aim of damaging the reputation of a person or entity, or making money through advertising revenue. Although false news has always been spread throughout history, the term ""fake news"" was first"
ProtonMail;ORG;ProtonMail is an encrypted webmail service founded by Jason Stockman, Wei Sun, and Andy Yen in 2013. It is owned by Proton Technologies, based in Geneva, Switzerland.;Proton Mail (previously written as ProtonMail) is a Swiss end-to-end encrypted email service founded in 2013 headquartered in Plan-les-Ouates, Switzerland. It uses client-side encryption to protect email content and user data before they are sent to Proton Mail servers, unlike other common email providers such as Gmail and Outlook.com. The service can be accessed through a webmail client, the Tor network, or dedicated iOS
Microsoft;ORG;The Current Logo of Microsoft since 2012.  Microsoft is an American company, founded in 1975, that develops computer software and services.;Microsoft Corporation is an American multinational technology corporation
International System of Units;MISC;Some readers might find the article Metric system easier to understand. Voltmeter with 5V range. A 2 kilogram weight.;The International System of Units, internationally known by the abbreviation SI (from French Système international d'unités), is the modern form of the metric system and the world's most widely used system of measurement. Coordinated by the International Bureau of Weights and Measures (abbreviated BIPM from French: Bureau international des poids et mesures) it is the only system of measurement with an official status in nearly
