title;entity;Vikidia;Wikipedia
Дальневосточный федеральный округ;LOC;Дальневосточный Федеральный Округ — одна из единиц территориального деления России. Его административным центром является Хабаровск.;Дальневосто́чный федера́льный о́круг (ДФО) — федеральный округ Российской Федерации, занимающий территорию Дальнего Востока России и Восточной Сибири. Образован Указом Президента Российской Федерации от 13 мая 2000 года. Площадь округа составляет 6 952 555 км² (чуть меньше Австралии или как две Индии), что составляет 40,6 % площади всей страны (крупнейший по размерам территории федеральный округ). Население на 2022 год составляет около 8 миллионов человек. В ДФО большинство субъектов (кроме Республики Бурятия, Забайкальского края, Амурской области и Еврейской автономной области) имеют выход к морю. Федеральный округ по суше граничит с Монголией, Китаем и Северной Кореей, а по морю — с Японией и
Викидия;O;"Викидия (или Vikidia) — это бесплатная, универсальная и многоязычнаяинтернет-энциклопедия, написанная с использованием вики-технологий и направленная на соблюдение «нейтральной точки зрения». Эта энциклопедия написана (по большей части) для детей 8-13 лет. Сайт постоянно контролируется роботами, а также администраторами и патрулирующими. Роботы — это программы, исправляющие ошибки. Администраторы могут предупреждать или блокировать пользователей и удалять страницы. Патрулирующие несут ответственность за проверку вандализированного контента. Викидия расположена на веб-сайте https://www.vikidia.org/. У Vikidia также есть канал на YouTube, с помощью которого вы можете изучить различные вещи, чтобы лучше знать, как внести свой вклад.  Викидия была создана 17 ноября 2006 года на французском языке Матиасом Дамуром, который работает под именем Astirmays. Она была разработана по принципу вики с использованием движка MediaWiki.  В апреле 2007 года она достигла рубежа в тысячу статей и сотни зарегистрированных участников. По состоянию на 19 декабря 2007 года был превышен рубеж в 3000 статей, а 21 сентября 2008 года — 5000 единиц. В октябре 2010 года было 8000 статей. На 6 июля 2011 года 10000 статей. Сегодня в Викидии более 30 000 статей.  В 2014 году была создана немецкая версия, открытая в августе 2017 года.  Принципы работы Викидии в целом схожи с принципами Википедии. Статьи могут свободно редактироваться зарегистрированными или незарегистрированными участниками. Нейтральность точки зрения обязательна.  Контент выпускается под свободной лицензией GFDL и Creative Commons.  Специфика Викидии предназначена для детей от 8 до 13 лет. Содержание, которое обычно считается неуместным и, возможно, оскорбительным для этой возрастной группы, исключается. Это поднимает вопрос о содержании статей: должны ли они упрощёнными? Должны ли мы предоставить информацию, которая выходит за рамки того, что обычно преподаётся в этой возрастной группе, чтобы раскрыть сложность знаний для детей 8-13 лет и, возможно, заставить детей захотеть позже узнать больше? Эти вопросы неоднократно обсуждались участниками Викидии. Не было найдено ответа, который удовлетворяет всех; поэтому статьи, представленные в энциклопедии, имеют уровни сложности, которые в значительной степени зависят от того, как видит тот или иной автор «читабельность» для ребёнка.  Кроме того, Vikidia стремится поощрять участие детей в её написании, как часть образовательных проектов в начальном и среднем образовании, или индивидуально.  По состоянию на 18 января 2019 года французская версия содержала 27 105 статей; итальянская версия — 6426; испанская — 4371; английская — 2380; баскская — 1084; каталонская — 478; русская — 190 и сицилийская — 38.";
Английский язык;LOC;"Карта народов мира, говорящих по-английски. Тёмно-синий — английский является официальным языком или языком, на котором говорит большинство людей; светло-синий — английский является официальным языком (возможно, наряду с другими), но большинство людей не говорит на нём как на родном.  Нынешний английский является результатом серии смесей разных языков. Английский имеет как германское, так и латинское происхождение.  Некоторые латинские элементы происходят из Римской оккупации с 55 г. до н. Э. до 407-410 гг. до н.э. Затем Нормандское завоевание в 11-м веке принесло много французских элементов. Нормандия остановила преподавание старого английского в школах на несколько сотен лет. Язык сильно изменился, потому что в основном на нём говорили, а не писали. Смесь древнеанглийских и латинских элементов стала языком, на котором говорили до середины/конца 1400-х годов. Почти 60% английского словаря происходит от латыни.";Англи́йский язык (самоназвание — English, the English language) — язык англо-фризской подгруппы западной группы германской ветви индоевропейской языковой семьи. Английский язык — важнейший международный язык, что является следствием колониальной политики Британской империи в XIX и первой половине XX века, а также мирового влияния Соединённых Штатов Америки в XX—XXI веках. Является одним из наиболее распространённых языков в мире. Существует значительное разнообразие диалектов и говоров английского языка. Английский язык возник в раннем Средневековье как потомок англосаксонского языка, на котором говорили англосаксы. Он стал родным для большинства населения Великобритании, а с территориальным ростом Британской империи распространился в Азию, Африку, Северную Америку и Австралию.
Аллея МиГов;O;«Аллея МиГов» — название, данное американскими пилотами северо-западной части Северной Кореи вдоль южного берега реки Ялуцзян, которое контролировали советские летчики. Во время Корейской войны этот район стал местом многочисленных воздушных схваток между новейшими американскими и советскими реактивными истребителями F-86 и МиГ-15.;«Аллея МиГов» (англ. MiG Alley) — название, данное американскими пилотами северо-западной части Северной Кореи вдоль южного берега реки Ялуцзян, которое контролировали советские лётчики. Во время Корейской войны этот район стал местом многочисленных воздушных схваток между новейшими американскими и советскими реактивными истребителями F-86 и МиГ-15. «Аллею МиГов» считают местом первых воздушных боёв между реактивными истребителями. Начало войны Северокорейские войска начали наступление против Южной Кореи 25 июня 1950 года. На тот момент в распоряжении КНДР были устаревшие поршневые самолёты советского производства времён Второй Мировой войны, которыми управляли неопытные корейские и китайские лётчики. Эти силы не могли противостоять американской авиации и вскоре были
Эмилия-Романья;LOC;Флаг Эмилия-Романья  Эмилия-Романья (итал. Emilia-Romagna) — административный регион Италии площадью 22.453 км² и населением 4.500.000 человек (2014). Областной столицей является город Болонья.;Эми́лия-Рома́нья (итал. Emilia-Romagna, эмил.-ром. Emégglia-Rumâgna), ранее Эмилия (лат. Aemilia, итал. Emilia) — административная область (ранее компартименто — итал. compartimento, регион — итал. regione) в Итальянской республике. Название Aemilia эта местность (страна), заселённая в древности племенами лингонов, сенонов и бойев, и уничтоженных Древним Римом, получила от римской военной дороги Via Aemilia, проходившей от города Плаценция (ныне Пиаченца) на реке По до города Ариминум (ныне Римини) на Адриатическом море, всего на протяжении около 300 километров. Физико-географическая характеристика Область Эмилия-Романья простирается от Адриатического моря на востоке через Апеннинские горы, немного не доходя до Лигурийского моря на западе. Область состоит из двух исторических частей:
Ватикан;O;Ватика́н, также встречается использование названия Госуда́рство-го́род Ватика́н — карликовое государство. Дипломатические миссии иностранных государств аккредитуются при Святом Престоле, а не при городе-государстве Ватикан. Иностранные посольства и представительства, аккредитованные при Святом Престоле, ввиду малой территории Ватикана, в Риме (включая посольство Италии, которое, таким образом, находится в собственой столице).  Ватикан является постоянным наблюдателем при ООН с 1964 года, сотрудничая с организацией с 1957 года.  В 1970 году Павел VI реформировал вооружённые силы, ликвидировал три первые вида войск и оставил для охраны государства швейцарскую гвардию, основанную в 1506 году. В 2002 году Иоанн Павел II восстановил жандармерию, однако теперь она исполняет только полицейские функции является частью вооружённых сил.;Ватика́н (лат. Status Civitatis Vaticanæ, итал. Stato della Città del Vaticano, также встречается использование названия Госуда́рство-го́род Ватика́н) — карликовое государство-анклав (самое маленькое официально признанное государство в мире) внутри территории Рима, ассоциированное с Италией. Статус Ватикана в международном праве — вспомогательная суверенная территория Святого Престола, резиденции высшего духовного руководства Римско-католической церкви. Дипломатические миссии иностранных государств аккредитуются при Святом Престоле, а не при городе-государстве Ватикан. Иностранные посольства и представительства, аккредитованные при Святом Престоле, ввиду малой территории Ватикана размещены в Риме (включая и посольство Италии, которое, таким образом, находится в её собственной столице). Ватикан является постоянным наблюдателем при Организации Объединённых Наций с 1964
2014;ORG;Это случилось в 2014 году :;2014 (две ты́сячи четы́рнадцатый) год по григорианскому календарю — невисокосный год, начинающийся в среду. Это 2014 год нашей эры, 4 год 2-го десятилетия XXI века 3-го тысячелетия, 5 год 2010-х годов. Он закончился 10 лет назад. 2014 год стал самым жарким за всю историю метеонаблюдений в мире. Год культуры в России. Год российской культуры в Великобритании и Год британской культуры в России. Год науки Россия — ЕС. Год гостеприимства в Беларуси. Города Рига (Латвия) и Умео (Швеция) стали культурными столицами Европы на 2014 год. Международный год кристаллографии (ЮНЕСКО). Международный год семейных фермерских хозяйств (ФАО). События См. также: Категория:2014 год Январь
Кремль;LOC;Московский Кремль.  Кремль, построенный в 14 веке для защиты города татар, доминирует над Москвой и простирается по одной стороне Красной площади.  Его треугольный корпус содержит религиозные и гражданские памятники:  дворцы (в том числе императорский дворец, построенный в 1838 году) превращены в музеи или административные здания Российской Федерации.  Московский Кремль  Кремль с его стенами и соборами.;Кремль (от рус. кремъ — «крепость», однокоренные — кро́мка, кро́ме, укро́мный, кре́мень, крома́, закрома́, закро́м, крёмный) — укрепленное ядро исторического русского города, центральная и наиболее древняя его часть. Слово «кремль» с XIV века получило распространение в Северо-Восточной Руси, постепенно заменив первоначальное название «детинец». В структуре древнерусских городов к обнесённому крепостной стеной кремлю-детинцу в большинстве случаев примыкали 1—2 более крупных по площади окольных города, которые также были укреплены. Части города вне кремля назывались «посадами». В кремле, как правило, находился княжеский дворец, главные каменные храмы, усадьбы феодальной знати и ремесленные мастерские, обслуживавшие княжеский двор. Для повышения обороноспособности кремли пытались строить с учётом
Организация Объединённых Наций;ORG;Флаг организации объединённых наций  Организация Объединённых Наций(OOH) — это организация по обеспечению мира и предотвращению войны между странами мира.  Здание Организацией объединённых Наций в Нью-Йорке  Зал генеральной ассамблеи  Флаги перед зданием ООН в Женеве;Организа́ция Объединённых На́ций (акрон. ООН) — международная организация, созданная для поддержания и укрепления международного мира и безопасности, а также развития сотрудничества между государствами. ООН считается универсальным форумом, наделённым уникальной легитимностью, несущей конструкцией международной системы коллективной безопасности, главным элементом современной многосторонней дипломатии. Штаб-квартира ООН находится в Нью-Йорке, у ООН также есть дополнительные офисы в Вене, Женеве и Найроби. Международный суд ООН находится в Гааге. ООН была создана после Второй мировой войны странами-участниками антигитлеровской коалиции, новая организация, пришедшая на смену Лиге Наций, должна была предотвращать будущие войны. С 2011 года членами ООН являются 193 страны, почти все суверенные государства мира. В структуру
Бразилия;MISC;"Бразилия  Лозунг: «Ordem e Progresso» (Порядок и прогресс).  Бразилия является пятой по величине страной планеты; она охватывает почти половину территории Южной Америки.  Крупнейшие реки страны:  Амазонка (Amazonas) — главная река, составляет около 20 % от общего объёма пресных вод, которые сбрасываются в океаны.  Валютами Бразилии последовательно были рейс, крузейро, новый крузейро, крузадо, крузейро реал, реал. Замена одной валюты на другую в основном производилась с одновременной деноминацией из-за высокой инфляции.";Брази́лия (порт. Brasil МФА: ), официально — Федерати́вная Респу́блика Брази́лия или Федерати́вная Респу́блика Брази́лии (порт. República Federativa do Brasil МФА: ) — суверенное государство в Южной Америке. Площадь — 8 515 767 км² (эквивалентна 47,3 % южноамериканской территории). Будучи пятой среди стран мира по площади и седьмой по численности населения (с более чем 218 млн жителей), Бразилия является крупнейшей страной Южной Америки и Латинской Америки как по территории, так и по численности населения. Единственная португалоязычная страна во всей Америке, а также крупнейшая лузофонная страна в мире. Столица — город Бразилиа. Другой вариант названия города — Бразилия — совпадает с русским
Шоколад;LOC;Шоколад является продуктом на основе какао-бобов. Первоначально какао-бобы были американского происхождения.;Шокола́д — кондитерское изделие на основе масла какао, являющегося продуктом переработки какао-бобов — семян шоколадного дерева, богатых теобромином и кофеином. Изделие получило широкое распространение во всём мире, став одним из самых популярных типов еды, оно часто применяется в кулинарии. Шоколад входит в состав большого количества продуктов — преимущественно десертных, таких как торты, пудинги, муссы, шоколадные пирожные и печенья. Многие конфеты наполнены или покрыты подслащённым шоколадом, также твёрдые плитки шоколада и батончики, покрытые шоколадом, едят в качестве «закуски-перекуса». Шоколад в виде подарков выпускается в различных формах и является традиционным на некоторых праздниках, таких как Пасха и День святого Валентина. Кроме того,
Карл Линней;PER;"Карл Линней  Карл Линней (латиницей: Carl Linnaeus) родился 23 мая 1707 года в южной Швеции (в регионе Смоланд) и умер 10 января 1778 году в Упсале.  шведский естествоиспытатель и врач; создатель единой системы классификации растительного и животного мира, ещё при жизни принесшей ему всемирную известность, в ней были обобщены и в значительной степени упорядочены знания всего предыдущего периода развития биологической науки.";Карл Линне́й, реже Карл Линнеус (швед. Carl Linnaeus, Carl Linné, лат. Carolus Linnaeus, после получения дворянства в 1761 году — Карл фон Линней, Carl von Linné, 23 мая 1707, Росхульт — 10 января 1778, Уппсала) — шведский естествоиспытатель (ботаник, зоолог, минералог), таксономист и медик. Учился в Лундском, затем Уппсальском университете. В 1732 году в одиночку совершил научное путешествие в Лапландию, преодолев за пять месяцев более 2000 км. Несколько лет жил в Голландии, где защитил докторскую диссертацию и опубликовал ряд ботанических и общебиологических работ, в короткий срок сделавших его известным во всём мире. С 1741 года до конца жизни — профессор
Австралия;O;Австралия;Австра́лия (англ. Australia, МФА: [əˈstreɪljə], от лат. austrālis — «южный»), официальная форма — Австрали́йский Сою́з, или Содру́жество Австра́лии (англ. Commonwealth of Australia, МФА: [ˈkɒm.ənˌwɛlθ əv əˈstreɪljə]) — государство в Южном полушарии, занимающее одноимённый материк, остров Тасмания и несколько других островов Индийского и Тихого океанов, является шестым государством по площади в мире. К северу от Австралийского Союза расположены Восточный Тимор, Индонезия и Папуа — Новая Гвинея, к северо-востоку — Вануату, Новая Каледония и Соломоновы Острова, к юго-востоку — Новая Зеландия. От главного острова Папуа — Новой Гвинеи материковая часть Австралийского Союза отделена Торресовым проливом минимальной шириной около 150 км, а расстояние
Южная Африка;LOC;Южная Африка;Южная Африка — регион, занимающий южную часть Африканского континента. Часто северной границей Южной Африки считают реки Кунене и Замбези: это значит, что в регион входят все пять стран, относящихся к Южной Африке (по классификации ООН), а также Зимбабве и южная часть Мозамбика. Государства, включаемые в Южную Африку Экономика Ботсвана, Лесото, Намибия, Эсватини и Южно-Африканская Республика входят в Южноафриканский таможенный союз. Добываются нефть, алмазы и прочее. См. также Восточная Африка Западная Африка Северная Африка Центральная Африка Примечания Ссылки Южная Африка // Энциклопедический словарь Брокгауза и Ефрона : в 86 т. (82 т. и 4 доп.). — СПб., 1890—1907.
Инопланетянин;O;Инопланетянин — существо с другой планеты, часто упоминается в каких-нибудь книжках.;Инопланетя́нин, прише́лец (с других планет, из космоса), «чужо́й» (англ. alien) — гипотетическое разумное существо внеземного происхождения, персонаж массовой культуры, в том числе художественных произведений, уфологии, конспирологии (в частности, о вторжении инопланетян) и некоторых новых религиозных движений. Представления об инопланетянах в массовой культуре являются современными мифами, связанными с внерелигиозными верованиями, составляют мифологию космического века. Известные образы Греи — человекообразные существа с дряблым телом, покрытым кожей серого или светло-зелёного цвета, без волосяного покрова и с непропорционально большой головой, на которой находятся огромные раскосые глаза чёрного цвета и миндалевидной формы. Норды — инопланетяне, наиболее похожие на людей, а именно на европеоидов северного типа,
Проект SETI;ORG;Заставка программы для анализа данных проекта распределённых вычислений [email protected]  Проект S.E.T.I. (англ.S.E.T.I., Search for ExtraTerrestrial Intelligence) - общее название проектов и мероприятий по поиску внеземных цивилизаций и возможному вступлению с ними в контакт.;
Книга;O;Вариант 1 (schools-wikipedia.org)  Книга состоит из собранных воедино листов с напечатанным, написанным, иногда иллюстрированным текстом или без него. Листы могут быть сделаны из чернил, бумаги, пергамента или других материалов. Обычно листы скреплены с одной стороны, чтобы их можно было переворачивать. Сторона одного листа книги называется страницей. Совокупность страниц с текстом и/или иллюстрациями в электронном формате составляет электронную книгу (e-book).  Вариант 2 (fr.wikimini.org)  Книга — это создаваемый людьми объект, состоящий из скрепленных вместе листов, которые называют страницами, на которых написан или напечатан текст, иногда вместе с картинками. Когда мы читаем книгу, то переворачиваем страницы.;Кни́га — один из видов печатной продукции: непериодическое издание, состоящее из сброшюрованных или отдельных бумажных листов (страниц) или тетрадей, на которых нанесена типографским или рукописным способом текстовая и графическая (иллюстрации) информация, имеющее, как правило, твёрдый переплёт. Также книгой может называться литературное или научное произведение, предназначенное для печати в виде отдельного сброшюрованного издания. С развитием информационных технологий всё более широкое распространение получают электронные книги — электронные версии печатных книг, которые можно читать на компьютерах или специальных устройствах. В 2013 году электронные книги занимали 30 % книжного рынка в количественном выражении и 14 % — в стоимостном. Этимология Наиболее вероятные версии происхождения
Бельгия;LOC;Бельгия;Бе́льгия (нидерл. België, МФА: [ˈbɛlɣijə], фр. Belgique, МФА: [bɛlˈʒik], нем. Belgien, МФА: ˈbɛlɡi̯ən]), полная официальная форма — Короле́вство Бе́льгия или Короле́вство Бе́льгии (нидерл. Koninkrijk België, фр. Royaume de Belgique, нем. Königreich Belgien) — государство, находящееся на северо-западе Европы. Площадь — 30 528 км², численность населения — 11 592 952 человек (на 1 января 2023 года). Столица — Брюссель. Граничит на севере с Нидерландами, на востоке — с Германией, на юго-востоке — с Люксембургом, и с Францией — на юге и западе. Омывается Северным морем на северо-западе. Форма правления — конституционная парламентская монархия, форма административно-территориального устройства — федерация. Официальные языки: нидерландский,
Истребитель;MISC;Истребитель — военный самолёт, предназначенный в первую очередь для уничтожения воздушных целей.  Messerschmitt Me.262 — немецкий реактивный истребитель, бомбардировщик и самолёт-разведчик времён Второй мировой войны. Является первым в мире серийным реактивным самолётом и первым в мире реактивным самолётом, участвовавшим в боевых действиях.;Истреби́тель — военный самолёт, предназначенный в первую очередь для уничтожения воздушных целей противника, в другом источнике указано что это боевой самолёт, предназначенный для уничтожения пилотируемых и беспилотных летательных аппаратов (ЛА) противника в воздухе, и может применяться для поражения наземных (надводных) целей и ведения воздушной разведки. Истребитель применяется для получения господства в воздухе над противником, а также для сопровождения бомбардировщиков, транспортных самолётов, самолётов гражданской авиации, защиты наземных объектов от авиации противника. Реже истребители используются для атаки наземных и морских целей. Несмотря на агрессивное название, истребитель относится к оборонительным типам вооружений, отдельного наступательного значения истребительная авиация не имеет. Однако в настоящее время,
Тунис;ORG;Тунис  10 835 873 Человек  Расположение Туниса на земном шаре.  Тунис-это страна в Северной Африке. Столица страны-город Тунис.  Госудаство Тунис расположен на севере Африки, между Алжиром и Ливией. Омывает на севере водами Средиземного моря.;Туни́с (араб. تونس‎), официальное название: Туни́сская Респу́блика (араб. الجمهورية التونسية‎, аль-Джумхурия ат-Тунисия) — государство на крайнем севере Африки. Население, по итогам переписи июля 2017 года, составляет 11 403 800 человек, территория — 163 610 км². Занимает 82 место в мире по численности населения и девяносто первое по территории. Столица — Тунис. Государственный язык — арабский. Унитарное государство, президентская республика. С 23 октября 2019 года Президентом Туниса является Каис Саид. В административно-территориальном отношении подразделяется на 24 вилайета. На севере и востоке омывается Средиземным морем, на западе граничит с Алжиром, на юго-востоке с Ливией. Около трети территории страны занимают восточные отроги гор
Северный кипр;ORG;"Северный кипр  313 626 Человек (2014)  Расположение Северный кипр на земном шаре  Северный кипр (Турецкая республика Северного Кипра) -это ""страна""(не была признана всеми странами мира) в Азии. Столица страны-город Никосия.";
Мавритания;ORG;Мавритания  3 359 185 Человек  Расположение Мавритании на земном шаре  Маврита́ния (араб. موريتانيا, полное название: Исла́мская Респу́блика Маврита́ния (араб. الجمهورية الإسلامية الموريتانية)) — страна в Африке.;Маврита́ния (араб. موريتانيا‎), полное название — Исла́мская Респу́блика Маврита́ния (араб. الجمهورية الإسلامية الموريتانية‎) — государство в Западной Африке, омывается с запада Атлантическим океаном. Граничит с Западной Сахарой на северо-западе, с Сенегалом на юго-западе, с Алжиром на северо-востоке, с Мали на юге и востоке. Этимология Топоним «Мавритания» восходит к III тысячелетию до нашей эры, когда финикийские мореплаватели дали лежавшей на крайнем Западе Африки территории название Mauharim — «Западный край». В колониальный период название «Мавритания» носила одна из территорий Французской Западной Африки, которая в 1960 году провозгласила независимость под этим же названием. История Древняя история За несколько тысяч лет до н. э.
Мадрид;O;Герб города Мадрид  Карта крупных городов Испании  Мадрид — столица и крупнейший город Испании.;Мадри́д (исп. Madrid [maˈðɾið]) — столица и крупнейший город Испании, а также административный центр одноимённых провинции и автономного сообщества. Муниципалитет находится в составе района (комарки) Ареа-Метрополитана. Крупнейший экономический, политический и культурный центр страны. Население города — 3,266 млн жителей (2019). Город расположен в центральной части Пиренейского полуострова. Большой Мадрид представляет собой агломерацию площадью 1200 км2. Сам город располагается на территории площадью 607 км2 и включает 21 административный округ. Крупный транспортный узел (железные, скоростные шоссейные дороги, один из крупнейших в мире аэропортов). Мадрид — влиятельный культурный центр, в котором расположено множество музеев международного масштаба, среди которых Музей Прадо, Центр искусств королевы
Викидия;O;"Викидия (или Vikidia) — это бесплатная, универсальная и многоязычнаяинтернет-энциклопедия, написанная с использованием вики-технологий и направленная на соблюдение «нейтральной точки зрения». Эта энциклопедия написана (по большей части) для детей 8-13 лет. Сайт постоянно контролируется роботами, а также администраторами и патрулирующими. Роботы — это программы, исправляющие ошибки. Администраторы могут предупреждать или блокировать пользователей и удалять страницы. Патрулирующие несут ответственность за проверку вандализированного контента. Викидия расположена на веб-сайте https://www.vikidia.org/. У Vikidia также есть канал на YouTube, с помощью которого вы можете изучить различные вещи, чтобы лучше знать, как внести свой вклад.  Викидия была создана 17 ноября 2006 года на французском языке Матиасом Дамуром, который работает под именем Astirmays. Она была разработана по принципу вики с использованием движка MediaWiki.  В апреле 2007 года она достигла рубежа в тысячу статей и сотни зарегистрированных участников. По состоянию на 19 декабря 2007 года был превышен рубеж в 3000 статей, а 21 сентября 2008 года — 5000 единиц. В октябре 2010 года было 8000 статей. На 6 июля 2011 года 10000 статей. Сегодня в Викидии более 30 000 статей.  В 2014 году была создана немецкая версия, открытая в августе 2017 года.  Принципы работы Викидии в целом схожи с принципами Википедии. Статьи могут свободно редактироваться зарегистрированными или незарегистрированными участниками. Нейтральность точки зрения обязательна.  Контент выпускается под свободной лицензией GFDL и Creative Commons.  Специфика Викидии предназначена для детей от 8 до 13 лет. Содержание, которое обычно считается неуместным и, возможно, оскорбительным для этой возрастной группы, исключается. Это поднимает вопрос о содержании статей: должны ли они упрощёнными? Должны ли мы предоставить информацию, которая выходит за рамки того, что обычно преподаётся в этой возрастной группе, чтобы раскрыть сложность знаний для детей 8-13 лет и, возможно, заставить детей захотеть позже узнать больше? Эти вопросы неоднократно обсуждались участниками Викидии. Не было найдено ответа, который удовлетворяет всех; поэтому статьи, представленные в энциклопедии, имеют уровни сложности, которые в значительной степени зависят от того, как видит тот или иной автор «читабельность» для ребёнка.  Кроме того, Vikidia стремится поощрять участие детей в её написании, как часть образовательных проектов в начальном и среднем образовании, или индивидуально.  По состоянию на 18 января 2019 года французская версия содержала 27 105 статей; итальянская версия — 6426; испанская — 4371; английская — 2380; баскская — 1084; каталонская — 478; русская — 190 и сицилийская — 38.";
